text,num,fname,lett,gender
Владимирович,1292409,Владимир,В,m
Александрович,1281094,Александр,А,m
Николаевич,1119772,Николай,Н,m
Викторович,743783,Виктор,В,m
Сергеевич,686685,Сергей,С,m
Александровна,657279,Александр,А,f
Владимировна,642208,Владимир,В,f
Иванович,630171,Иван,И,m
Анатольевич,622367,Анатолий,А,m
Николаевна,598728,Николай,Н,f
Юрьевич,536990,Юрий,Ю,m
Михайлович,532906,Михаил,М,m
Васильевич,497215,Василий,В,m
Алексеевич,404880,Алексей,А,m
Викторовна,374833,Виктор,В,f
Ивановна,362469,Иван,И,f
Сергеевна,345229,Сергей,С,f
Валерьевич,316384,Валерий,В,m
Анатольевна,313234,Анатолий,А,f
Петрович,300828,Петр,П,m
Васильевна,282407,Василий,В,f
Михайловна,280688,Михаил,М,f
Евгеньевич,276696,Евгений,Е,m
Геннадьевич,266824,Геннадий,Г,m
Юрьевна,255828,Юрий,Ю,f
Борисович,255266,Борис,Б,m
,246517,,,
Алексеевна,218684,Алексей,А,f
Андреевич,216793,Андрей,А,m
Павлович,189829,Павел,П,m
Вячеславович,182941,Вячеслав,В,m
Леонидович,172470,Леонид,Л,m
Игоревич,170064,Игорь,И,m
Петровна,169180,Петр,П,f
Дмитриевич,158601,Дмитрий,Д,m
Валентинович,150486,Валентин,В,m
Валерьевна,150311,Валерий,В,f
Олегович,144881,Олег,О,m
Григорьевич,138330,Григорий,Г,m
Евгеньевна,131398,Евгений,Е,f
Геннадьевна,129648,Геннадий,Г,f
Федорович,124001,Федор,Ф,m
Витальевич,123591,Виталий,В,m
Борисовна,119075,Борис,Б,f
Андреевна,112077,Андрей,А,f
Георгиевич,107917,Георгий,Г,m
Павловна,104390,Павел,П,f
Константинович,103895,Константин,К,m
Вячеславовна,88495,Вячеслав,В,f
Леонидовна,87333,Леонид,Л,f
Дмитриевна,85860,Дмитрий,Д,f
Игоревна,78795,Игорь,И,f
Григорьевна,75002,Григорий,Г,f
Валентиновна,73629,Валентин,В,f
Федоровна,71815,Федор,Ф,f
Олеговна,66482,Олег,О,f
Витальевна,59594,Виталий,В,f
Константиновна,54484,Константин,К,f
Степанович,54144,Степан,С,m
Георгиевна,53550,Георгий,Г,f
Станиславович,51761,Станислав,С,m
Семенович,50133,Семен,С,m
Яковлевич,49371,Яков,Я,m
Вадимович,46235,Вадим,В,m
Львович,44091,Лев,Л,m
Ильич,43562,Илья,И,m
Эдуардович,42591,Эдуард,Э,m
Аркадьевич,41738,Аркадий,А,m
Владиславович,36014,Владислав,В,m
Степановна,31185,Степан,С,f
Альбертович,29663,Альберт,А,m
Семеновна,27758,Семен,С,f
Яковлевна,25749,Яков,Я,f
Егорович,25522,Егор,Е,m
Станиславовна,24333,Станислав,С,f
Валериевич,23813,Валерий,В,m
Ильинична,23536,Илья,И,f
Вениаминович,22687,Вениамин,В,m
Магомедович,22569,Магомед,М,m
Романович,22131,Роман,Р,m
Вадимовна,20605,Вадим,В,f
Аркадьевна,20562,Аркадий,А,f
Иосифович,19802,Иосиф,И,m
Эдуардовна,18416,Эдуард,Э,f
Тимофеевич,18134,Тимофей,Т,m
Львовна,17576,Лев,Л,f
Егоровна,17534,Егор,Е,f
Геннадиевич,17190,Геннадий,Г,m
Германович,16408,Герман,Г,m
Владиславовна,15812,Владислав,В,f
Максимович,14461,Максим,М,m
Афанасьевич,14406,Афанасий,А,m
Ефимович,14183,Ефим,Е,m
Антонович,14009,Антон,А,m
Валериевна,13488,Валерий,В,f
Альбертовна,12630,Альберт,А,f
Тимофеевна,11979,Тимофей,Т,f
Робертович,11375,Роберт,Р,m
Маратович,11333,Марат,М,m
Русланович,11291,Руслан,Р,m
Вениаминовна,10924,Вениамин,В,f
Романовна,10641,Роман,Р,f
Ринатович,10488,Ринат,Р,m
Филиппович,10366,Филипп,Ф,m
Гаврилович,9768,Гаврил,Г,m
Геннадиевна,9464,Геннадий,Г,f
Рудольфович,9306,Рудольф,Р,m
Кузьмич,9094,Кузьма,М,m
Афанасьевна,8875,Афанасий,А,f
Артурович,8866,Артур,А,m
Фаритович,8836,Фарит,Ф,m
Иосифовна,8772,Иосиф,И,f
Максимовна,8614,Максим,М,f
Рашитович,8513,Рашит,Р,m
Матвеевич,8405,Матвей,М,m
Германовна,8396,Герман,Г,f
Кириллович,8361,Кирилл,К,m
Маркович,7990,Марк,М,m
Рафикович,7957,Рафик,Р,m
Данилович,7947,Данил,Д,m
Алиевич,7708,Алий,А,m
Антоновна,7640,Антон,А,f
Ибрагимович,7454,Ибрагим,И,m
Ефимовна,7302,Ефим,Е,f
Леонтьевич,7246,Леонтий,Л,m
Иннокентьевич,7195,Иннокентий,И,m
Равильевич,7172,,Р,m
Раисович,6987,Раис,Р,m
Давидович,6938,Давид,Д,m
Рашидович,6786,Рашид,Р,m
Магомедовна,6703,Магомед,М,f
Филипповна,6564,Филипп,Ф,f
Рафаилович,6407,Рафаил,Р,m
Феликсович,6196,Феликс,Ф,m
Гавриловна,6006,Гаврил,Г,f
Всеволодович,5874,Всеволод,В,m
Хасанович,5781,Хасан,Х,m
Ахмедович,5754,Ахмед,А,m
Тихонович,5733,Тихон,Т,m
Никитович,5647,Никита,Н,m
Матвеевна,5591,Матвей,М,f
Генрихович,5562,Генрих,Г,m
Анварович,5546,Анвар,А,m
Ильдарович,5530,Ильдар,И,m
Мансурович,5527,Мансур,М,m
Серафимович,5526,Серафим,С,m
Радикович,5436,Радик,Р,m
Рамазанович,5406,Рамазан,Р,m
Абрамович,5381,Абрам,А,m
Фёдорович,5356,Фёдор,Ф,m
Кузьминична,5218,Кузьма,К,f
Маратовна,5124,Марат,М,f
Султанович,5097,Султан,С,m
Адольфович,5094,Адольф,А,m
Наилевич,4999,Наиль,Н,m
Захарович,4989,Захар,З,m
Моисеевич,4950,Моисей,М,m
Ашотович,4949,Ашот,А,m
Равилевич,4894,Равиль,Р,m
Робертовна,4815,Роберт,Р,f
Ринатовна,4770,Ринат,Р,f
Рустамович,4758,Рустам,Р,m
Шамильевич,4754,,Ш,m
Кирилловна,4752,Кирилл,К,f
Руслановна,4751,Руслан,Р,f
Никитична,4674,Никита,Н,f
Иннокентьевна,4598,Иннокентий,И,f
Тагирович,4536,Тагир,Т,m
Трофимович,4526,Трофим,Т,m
Даниловна,4525,Данил,Д,f
Игнатьевич,4508,Игнатий,И,m
Митрофанович,4441,Митрофан,М,m
Рудольфовна,4396,Рудольф,Р,f
Никифорович,4358,Никифор,Н,m
Дамирович,4295,Дамир,Д,m
Ахметович,4266,Ахмет,А,m
Прокопьевич,4189,Прокопий,П,m
Суренович,4153,Сурен,С,m
Леонтьевна,4110,Леонтий,Л,f
Рашитовна,4105,Рашит,Р,f
Фаритовна,4099,Фарит,Ф,f
Самвелович,4072,Самвел,С,m
Адамович,4064,Адам,А,m
Ярославович,3980,Ярослав,Я,m
Ильдусович,3905,Ильдус,И,m
Исмаилович,3881,Исмаил,И,m
Тихоновна,3757,Тихон,Т,f
Шамилевич,3690,Шамиль,Ш,m
Рамилевич,3647,Рамиль,Р,m
Равильевна,3617,,Р,f
Артуровна,3599,Артур,А,f
Денисович,3573,Денис,Д,m
Зуфарович,3546,Зуфар,З,m
Азатович,3541,Азат,А,m
Рубенович,3533,Рубен,Р,m
Исаевич,3495,Исай,И,m
Исаакович,3483,Исаак,И,m
Давыдович,3430,Давыд,Д,m
Левонович,3420,Левон,Л,m
Глебович,3368,Глеб,Г,m
Сабирович,3355,Сабир,С,m
Артемович,3340,Артем,А,m
Талгатович,3340,Талгат,Т,m
Мухамедович,3339,Мухамед,М,m
Фёдоровна,3329,Фёдор,Ф,f
Серафимовна,3324,Серафим,С,f
Мусаевич,3308,,М,m
Гаджиевич,3307,,Г,m
Ильясович,3305,Ильяс,И,m
Наильевич,3245,,Н,m
Юсупович,3211,Юсуп,Ю,m
Брониславович,3210,Бронислав,Б,m
Раисовна,3158,Раис,Р,f
Арнольдович,3157,Арнольд,А,m
Кимович,3130,Ким,К,m
Асхатович,3093,Асхат,А,m
Хамитович,3087,Хамит,Х,m
Игнатьевна,3057,Игнатий,И,f
Валерианович,3053,Валериан,В,m
Рашидовна,3048,Рашид,Р,f
Рифович,3045,Риф,Р,m
Рафиковна,3044,Рафик,Р,f
Герасимович,3029,Герасим,Г,m
Фаридович,3026,Фарид,Ф,m
Зиновьевич,3008,Зиновий,З,m
Ростиславович,3005,Ростислав,Р,m
Валерьянович,2993,Валерьян,В,m
Игорьевич,2990,Игорий,И,m
Никифоровна,2947,Никифор,Н,f
Марковна,2935,Марк,М,f
Ибрагимовна,2926,Ибрагим,И,f
Наумович,2919,Наум,Н,m
Савельевич,2913,Савелий,С,m
Харисович,2903,Харис,Х,m
Рафаиловна,2891,Рафаил,Р,f
Гургенович,2856,Гурген,Г,m
Митрофановна,2855,Митрофан,М,f
Прокопьевна,2847,Прокопий,П,f
Арсентьевич,2839,Арсентий,А,m
Трофимовна,2821,Трофим,Т,f
Магометович,2789,Магомет,М,m
Захаровна,2778,Захар,З,f
Алиевна,2773,Алий,А,f
Амирович,2694,Амир,А,m
Сулейманович,2692,Сулейман,С,m
Анваровна,2647,Анвар,А,f
Лазаревич,2643,Лазарь,Л,m
Юльевич,2611,Юлий,Ю,m
Святославович,2602,Святослав,С,m
Никитич,2596,Никита,Н,m
Карлович,2577,Карл,К,m
Казбекович,2572,Казбек,К,m
Абдуллаевич,2558,,А,m
Муратович,2550,Мурат,М,m
Семёнович,2549,Семён,С,m
Ахатович,2548,Ахат,А,m
Махмудович,2543,Махмуд,М,m
Саркисович,2532,Саркис,С,m
Илларионович,2531,Илларион,И,m
Исламович,2519,Ислам,И,m
Камилович,2516,Камил,К,m
Стефанович,2512,Стефан,С,m
Марсович,2510,Марс,М,m
Арсенович,2503,Арсен,А,m
Римович,2496,Рим,Р,m
Мансуровна,2484,Мансур,М,f
Размикович,2466,Размик,Р,m
Альфредович,2461,Альфред,А,m
Богданович,2454,Богдан,Б,m
Макарович,2445,Макар,М,m
Радиковна,2438,Радик,Р,f
Хайдарович,2432,Хайдар,Х,m
Рауфович,2415,Рауф,Р,m
Генриховна,2400,Генрих,Г,f
Пантелеевич,2400,Пантелей,П,m
Рафисович,2397,Рафис,Р,m
Айратович,2396,Айрат,А,m
Оганесович,2393,Оганес,О,m
Салихович,2353,Салих,С,m
Наилевна,2349,Наиль,Н,f
Фанисович,2335,Фанис,Ф,m
Феликсовна,2322,Феликс,Ф,f
Хасановна,2321,Хасан,Х,f
Камильевич,2318,,К,m
Арамович,2316,Арам,А,m
Омарович,2304,Омар,О,m
Самуилович,2290,Самуил,С,m
Всеволодовна,2283,Всеволод,В,f
Фагимович,2273,Фагим,Ф,m
Емельянович,2263,Емельян,Е,m
Ильдаровна,2256,Ильдар,И,f
Салаватович,2254,Салават,С,m
Махмутович,2249,Махмут,М,m
Аликович,2246,Алик,А,m
Миронович,2246,Мирон,М,m
Умарович,2245,Умар,У,m
Гагикович,2227,Гагик,Г,m
Идрисович,2223,Идрис,И,m
Адольфовна,2210,Адольф,А,f
Владиленович,2198,Владилен,В,m
Юнусович,2197,Юнус,Ю,m
Курбанович,2187,Курбан,К,m
Ильгизович,2174,Ильгиз,И,m
Равилевна,2162,Равиль,Р,f
Камилевич,2149,Камиль,К,m
Абдуллович,2145,Абдулл,А,m
Якубович,2139,Якуб,Я,m
Мухтарович,2123,Мухтар,М,m
Шамильевна,2106,,Ш,f
Акимович,2101,Аким,А,m
Рамильевич,2084,,Р,m
Дамировна,2069,Дамир,Д,f
Акопович,2062,Акоп,А,m
Ришатович,2060,Ришат,Р,m
Рамазановна,2058,Рамазан,Р,f
Шамилович,2053,Шамил,Ш,m
Закирович,2049,Закир,З,m
Асланович,2045,Аслан,А,m
Тагировна,2043,Тагир,Т,f
Лаврентьевич,2039,Лаврентий,Л,m
Адамовна,2024,Адам,А,f
Арутюнович,2001,Арутюн,А,m
Султановна,1985,Султан,С,f
Равилович,1980,Равил,Р,m
Наилович,1958,Наил,Н,m
Абдурахманович,1950,Абдурахман,А,m
Прокофьевич,1949,Прокофий,П,m
Рифкатович,1935,Рифкат,Р,m
Рустемович,1935,Рустем,Р,m
Османович,1915,Осман,О,m
Ирекович,1912,Ирек,И,m
Янович,1911,Ян,Я,m
Гасанович,1908,Гасан,Г,m
Арменович,1903,Армен,А,m
Соломонович,1897,Соломон,С,m
Денисовна,1895,Денис,Д,f
Хамидович,1881,Хамид,Х,m
Аронович,1854,Арон,А,m
Исмагилович,1846,Исмагил,И,m
Мунирович,1832,Мунир,М,m
Ренатович,1823,Ренат,Р,m
Ахметовна,1823,Ахмет,А,f
Усманович,1817,Усман,У,m
Сагитович,1817,Сагит,С,m
Вахаевич,1816,,В,m
Арсентьевна,1810,Арсентий,А,f
Рустамовна,1806,Рустам,Р,f
Давидовна,1802,Давид,Д,f
Демьянович,1801,Демьян,Д,m
Тахирович,1799,Тахир,Т,m
Али Оглы,1772,,А,m
Ахмедовна,1765,Ахмед,А,f
Рафкатович,1763,Рафкат,Р,m
Рафаэлевич,1762,Рафаэль,Р,m
Абдулаевич,1757,,А,m
Саидович,1752,Саид,С,m
Жораевич,1751,,Ж,m
Каримович,1743,Карим,К,m
Гамлетович,1742,Гамлет,Г,m
Зуфаровна,1738,Зуфар,З,f
Анасович,1729,Анас,А,m
Талгатовна,1727,Талгат,Т,f
Савельевна,1727,Савелий,С,f
Халитович,1722,Халит,Х,m
Расимович,1717,Расим,Р,m
Герасимовна,1716,Герасим,Г,f
Кимовна,1714,Ким,К,f
Гарникович,1710,Гарник,Г,m
Грантович,1704,Грант,Г,m
Базаржапович,1702,Базаржап,Б,m
Рамилевна,1701,Рамиль,Р,f
Андраникович,1682,Андраник,А,m
Мидхатович,1671,Мидхат,М,m
Галиевич,1669,Галий,Г,m
Расулович,1668,Расул,Р,m
Касимович,1662,Касим,К,m
Стефановна,1654,Стефан,С,f
Леонардович,1650,Леонард,Л,m
Давыдовна,1641,Давыд,Д,f
Терентьевич,1640,Терентий,Т,m
Макаровна,1627,Макар,М,f
Абрамовна,1625,Абрам,А,f
Назипович,1624,Назип,Н,m
Исхакович,1623,Исхак,И,m
Халилович,1618,Халил,Х,m
Валериановна,1612,Валериан,В,f
Рафаэльевич,1608,,Р,m
Викентьевич,1606,Викентий,В,m
Владленович,1604,Владлен,В,m
Илларионовна,1594,Илларион,И,f
Закиевич,1588,Закий,З,m
Ильясовна,1581,Ильяс,И,f
Вазгенович,1572,Вазген,В,m
Ярославовна,1571,Ярослав,Я,f
Харисовна,1569,Харис,Х,f
Моисеевна,1566,Моисей,М,f
Карпович,1563,Карп,К,m
Нариманович,1561,Нариман,Н,m
Шамилевна,1551,Шамиль,Ш,f
Семёновна,1534,Семён,С,f
Ильдусовна,1530,Ильдус,И,f
Наильевна,1530,,Н,f
Брониславовна,1528,Бронислав,Б,f
Хачикович,1527,Хачик,Х,m
Вагизович,1523,Вагиз,В,m
Исакович,1521,Исак,И,m
Шакирович,1511,Шакир,Ш,m
Пантелеевна,1507,Пантелей,П,f
Гумарович,1501,Гумар,Г,m
Францевич,1499,Франц,Ф,m
Мухаметович,1495,Мухамет,М,m
Артемовна,1493,Артем,А,f
Арсеньевич,1493,Арсений,А,m
Карленович,1488,Карлен,К,m
Эрнестович,1487,Эрнест,Э,m
Хамитовна,1481,Хамит,Х,f
Ашотовна,1474,Ашот,А,f
Архипович,1473,Архип,А,m
Емельяновна,1469,Емельян,Е,f
Казимирович,1468,Казимир,К,m
Тарасович,1466,Тарас,Т,m
Рифатович,1458,Рифат,Р,m
Фаридовна,1458,Фарид,Ф,f
Исмаиловна,1457,Исмаил,И,f
Рафаэлович,1453,Рафаэл,Р,m
Рифовна,1450,Риф,Р,f
Мударисович,1447,Мударис,М,m
Карапетович,1444,Карапет,К,m
Трифонович,1441,Трифон,Т,m
Вячеславна,1439,,В,f
Гурьевич,1439,Гурий,Г,m
Булатович,1434,Булат,Б,m
Шавкатович,1434,Шавкат,Ш,m
Абдулович,1420,Абдул,А,m
Юсуфович,1419,Юсуф,Ю,m
Тимурович,1415,Тимур,Т,m
Вильевич,1409,Вилий,В,m
Хачатурович,1399,Хачатур,Х,m
Спиридонович,1399,Спиридон,С,m
Рахимович,1391,Рахим,Р,m
Мурадович,1391,Мурад,М,m
Салманович,1386,Салман,С,m
Марсовна,1378,Марс,М,f
Валерьяновна,1375,Валерьян,В,f
Спартакович,1373,Спартак,С,m
Глебовна,1367,Глеб,Г,f
Генадьевич,1365,Генадий,Г,m
Алимович,1364,Алим,А,m
Мухамедовна,1360,Мухамед,М,f
Шотаевич,1358,,Ш,m
Эрнстович,1358,Эрнст,Э,m
Галимзянович,1355,Галимзян,Г,m
Хакимович,1354,Хаким,Х,m
Зурабович,1352,Зураб,З,m
Энверович,1349,Энвер,Э,m
Ананьевич,1347,Ананий,А,m
Акимовна,1344,Аким,А,f
Гусейнович,1344,Гусейн,Г,m
Амировна,1339,Амир,А,f
Заурович,1336,Заур,З,m
Флюрович,1335,Флюр,Ф,m
Отарович,1335,Отар,О,m
Ханифович,1330,Ханиф,Х,m
Артемьевич,1329,Артемий,А,m
Гаврильевич,1324,,Г,m
Маликович,1319,Малик,М,m
Азатовна,1318,Азат,А,f
Арнольдовна,1317,Арнольд,А,f
Геворгович,1317,Геворг,Г,m
Рафисовна,1316,Рафис,Р,f
Мамед Оглы,1314,,М,m
Харитонович,1301,Харитон,Х,m
Прокофьевна,1299,Прокофий,П,f
Римовна,1295,Рим,Р,f
Лукич,1292,Лука,Л,m
Арамаисович,1289,Арамаис,А,m
Лаврентьевна,1284,Лаврентий,Л,f
Эрикович,1284,Эрик,Э,m
Шалвович,1274,,Ш,m
Назирович,1271,Назир,Н,m
Родионович,1270,Родион,Р,m
Ефремович,1267,Ефрем,Е,m
Володяевич,1259,,В,m
Генрикович,1256,Генрик,Г,m
Халимович,1253,Халим,Х,m
Ростиславовна,1253,Ростислав,Р,f
Леонович,1253,Леон,Л,m
Зиновьевна,1252,Зиновий,З,f
Хусаинович,1247,Хусаин,Х,m
Салимович,1246,Салим,С,m
Арменакович,1242,Арменак,А,m
Федотович,1242,Федот,Ф,m
Грачикович,1239,Грачик,Г,m
Климентьевич,1238,Климентий,К,m
Нуруллович,1234,Нурулл,Н,m
Самвеловна,1230,Самвел,С,f
Салаватовна,1223,Салават,С,f
Хамзатович,1219,Хамзат,Х,m
Карловна,1217,Карл,К,f
Юрикович,1213,Юрик,Ю,m
Фанисовна,1212,Фанис,Ф,f
Фатыхович,1208,Фатых,Ф,m
Муратовна,1205,Мурат,М,f
Габдуллович,1202,Габдулл,Г,m
Зиннурович,1198,Зиннур,З,m
Тигранович,1195,Тигран,Т,m
Исаевна,1190,Исай,И,f
Завенович,1189,Завен,З,m
Фатихович,1184,Фатих,Ф,m
Алиханович,1179,Алихан,А,m
Суреновна,1176,Сурен,С,f
Асхатовна,1176,Асхат,А,f
Нургалиевич,1172,Нургалий,Н,m
Рафаилевич,1171,Рафаиль,Р,m
Равиловна,1170,Равил,Р,f
Магомедрасулович,1170,Магомедрасул,М,m
Таймуразович,1166,Таймураз,Т,m
Баширович,1166,Башир,Б,m
Гурамович,1165,Гурам,Г,m
Мусаевна,1160,,М,f
Норикович,1160,Норик,Н,m
Фридрихович,1157,Фридрих,Ф,m
Евдокимович,1155,Евдоким,Е,m
Каренович,1154,Карен,К,m
Сережаевич,1148,,С,m
Терентьевна,1148,Терентий,Т,f
Лазаревна,1143,Лазарь,Л,f
Рауфовна,1131,Рауф,Р,f
Рубеновна,1125,Рубен,Р,f
Богдановна,1125,Богдан,Б,f
Кондратьевич,1125,Кондратий,К,m
Мустафаевич,1123,,М,m
Гаязович,1121,Гаяз,Г,m
Камиловна,1121,Камил,К,f
Эдикович,1119,Эдик,Э,m
Юсуповна,1118,Юсуп,Ю,f
Ильгизарович,1113,Ильгизар,И,m
Фаатович,1112,Фаат,Ф,m
Айратовна,1106,Айрат,А,f
Гарегинович,1105,Гарегин,Г,m
Вахтангович,1105,Вахтанг,В,m
Фоатович,1102,Фоат,Ф,m
Варданович,1095,Вардан,В,m
Гумерович,1083,Гумер,Г,m
Гивиевич,1082,,Г,m
Бариевич,1080,Барий,Б,m
Святославовна,1072,Святослав,С,f
Поликарпович,1072,Поликарп,П,m
Игорьевна,1071,Игорий,И,f
Абдулловна,1070,Абдулл,А,f
Магометовна,1069,Магомет,М,f
Демьяновна,1068,Демьян,Д,f
Раифович,1067,Раиф,Р,m
Нурисламович,1064,Нурислам,Н,m
Фомич,1064,Фома,Ф,m
Сулеймановна,1061,Сулейман,С,f
Загитович,1057,Загит,З,m
Евсеевич,1057,Евсей,Е,m
Сейранович,1055,Сейран,С,m
Фанилевич,1055,Фаниль,Ф,m
Акрамович,1053,Акрам,А,m
Араратович,1052,Арарат,А,m
Закировна,1051,Закир,З,f
Хусейнович,1051,Хусейн,Х,m
Казбековна,1045,Казбек,К,f
Рифгатович,1043,Рифгат,Р,m
Ахатовна,1042,Ахат,А,f
Альфредовна,1040,Альфред,А,f
Эмильевич,1035,Эмилий,Э,m
Рафаелович,1034,Рафаел,Р,m
Леванович,1031,Леван,Л,m
Мироновна,1024,Мирон,М,f
Юльевна,1022,Юлий,Ю,f
Ильгизовна,1022,Ильгиз,И,f
Евстафьевич,1008,Евстафий,Е,m
Хусенович,1006,Хусен,Х,m
Ваганович,1004,Ваган,В,m
Самсонович,1003,Самсон,С,m
Левоновна,998,Левон,Л,f
Айдарович,997,Айдар,А,m
Абдрахманович,997,Абдрахман,А,m
Владленовна,996,Владлен,В,f
Вартанович,995,Вартан,В,m
Назарович,994,Назар,Н,m
Владиленовна,991,Владилен,В,f
Хафизович,988,Хафиз,Х,m
Людвигович,988,Людвиг,Л,m
Венедиктович,987,Венедикт,В,m
Гарриевич,985,Гаррий,Г,m
Осипович,983,Осип,О,m
Аликовна,976,Алик,А,f
Христофорович,973,Христофор,Х,m
Геворкович,971,Геворк,Г,m
Галимович,969,Галим,Г,m
Аминович,968,Амин,А,m
Шарипович,968,Шарип,Ш,m
Сидорович,966,Сидор,С,m
Камильевна,961,,К,f
Назимович,955,Назим,Н,m
Асгатович,955,Асгат,А,m
Hиколаевич,953,,,m
Салиховна,952,Салих,С,f
Платонович,952,Платон,П,m
Джабраилович,950,Джабраил,Д,m
Никандрович,950,Никандр,Н,m
Махмутовна,947,Махмут,М,f
Хайдаровна,944,Хайдар,Х,f
Анисимович,940,Анисим,А,m
Камилевна,936,Камиль,К,f
Виссарионович,936,Виссарион,В,m
Ахматович,935,Ахмат,А,m
Ильшатович,933,Ильшат,И,m
Рустемовна,932,Рустем,Р,f
Искандарович,932,Искандар,И,m
Абакарович,932,Абакар,А,m
Федотовна,930,Федот,Ф,f
Эдвардович,929,Эдвард,Э,m
Венерович,928,Венер,В,m
Фанилович,922,Фанил,Ф,m
Вачаганович,921,Вачаган,В,m
Гаджиевна,920,,Г,f
Афонасьевич,919,Афонасий,А,m
Гришаевич,918,,Г,m
Спиридоновна,918,Спиридон,С,f
Автандилович,917,Автандил,А,m
Уралович,908,Урал,У,m
Авенирович,908,Авенир,А,m
Саматович,908,Самат,С,m
Исмаил Оглы,904,,И,m
Гусейн Оглы,903,,Г,m
Рафаэлевна,902,Рафаэль,Р,f
Ирековна,902,Ирек,И,f
Зинурович,895,Зинур,З,m
Ришатовна,894,Ришат,Р,f
Михаилович,891,Михаил,М,m
Петросович,890,Петрос,П,m
Меружанович,888,Меружан,М,m
Галиевна,883,Галий,Г,f
Виталиевич,883,Виталий,В,m
Саитович,882,Саит,С,m
Яновна,880,Ян,Я,f
Каюмович,876,Каюм,К,m
Абдулхакович,876,Абдулхак,А,m
Каримовна,875,Карим,К,f
Гарифович,874,Гариф,Г,m
Сагитовна,874,Сагит,С,f
Симонович,872,Симон,С,m
Айказович,871,Айказ,А,m
Ваникович,870,Ваник,В,m
Мишаевич,867,,М,m
Тарасовна,864,Тарас,Т,f
Аршакович,863,Аршак,А,m
Ефремовна,863,Ефрем,Е,f
Махмудовна,855,Махмуд,М,f
Мухтаровна,855,Мухтар,М,f
Мунировна,854,Мунир,М,f
Якубовна,854,Якуб,Я,f
Габдулхакович,853,Габдулхак,Г,m
Карповна,853,Карп,К,f
Набиевич,852,Набий,Н,m
Арсеновна,850,Арсен,А,f
Гайкович,850,Гайк,Г,m
Хасанбиевич,850,Хасанбий,Х,m
Рамильевна,849,,Р,f
Порфирьевич,849,Порфирий,П,m
Евгениевич,848,Евгений,Е,m
Саргисович,847,Саргис,С,m
Ервандович,845,Ерванд,Е,m
Ризванович,845,Ризван,Р,m
Исааковна,844,Исаак,И,f
Раджабович,843,Раджаб,Р,m
Виленович,843,Вилен,В,m
Францевна,842,Франц,Ф,f
Августович,842,Август,А,m
Табрисович,840,Табрис,Т,m
Амаякович,840,Амаяк,А,m
Гусманович,839,Гусман,Г,m
Хабибуллович,838,,Х,m
Болеславович,837,Болеслав,Б,m
Расимовна,832,Расим,Р,f
Анзорович,832,Анзор,А,m
Арташесович,831,Арташес,А,m
Амиранович,830,Амиран,А,m
Тахировна,830,Тахир,Т,f
Нестерович,830,Нестер,Н,m
Архиповна,829,Архип,А,f
Израилевич,829,Израиль,И,m
Агзамович,829,Агзам,А,m
Габдулхаевич,828,Габдулхай,Г,m
Вильгельмович,827,Вильгельм,В,m
Надирович,827,Надир,Н,m
Пантелеймонович,826,Пантелеймон,П,m
Касымович,821,Касым,К,m
Нагимович,821,Нагим,Н,m
Юнусовна,820,Юнус,Ю,f
Валиевич,819,Валий,В,m
Мухадинович,818,Мухадин,М,m
Идрисовна,817,Идрис,И,f
Вахитович,815,Вахит,В,m
Наиловна,814,Наил,Н,f
Марселевич,814,Марсель,М,m
Ионович,813,Ион,И,m
Гаврильевна,813,,Г,f
Рафаэльевна,812,,Р,f
Ахтямович,810,Ахтям,А,m
Гафурович,810,Гафур,Г,m
Сабировна,809,Сабир,С,f
Наумовна,808,Наум,Н,f
Вараздатович,807,Вараздат,В,m
Гасан Оглы,806,,Г,m
Илдарович,806,Илдар,И,m
Анатолиевич,806,Анатолий,А,m
Лукьянович,806,Лукьян,Л,m
Рифкатовна,805,Рифкат,Р,f
Камоевич,802,,К,m
Манвелович,801,Манвел,М,m
Халиловна,800,Халил,Х,f
Искандерович,795,Искандер,И,m
Мамедович,791,Мамед,М,m
Сабир Оглы,788,,С,m
Фаизович,788,Фаиз,Ф,m
Абдуллаевна,787,,А,f
Евдокимовна,787,Евдоким,Е,f
Никонорович,787,Никонор,Н,m
Клавдиевич,786,Клавдий,К,m
Фролович,784,Фрол,Ф,m
Гамзатович,783,Гамзат,Г,m
Файзрахманович,783,Файзрахман,Ф,m
Тенгизович,779,Тенгиз,Т,m
Рафаильевич,778,,Р,m
Рафкатовна,777,Рафкат,Р,f
Славикович,776,Славик,С,m
Исмагиловна,776,Исмагил,И,f
Родионовна,775,Родион,Р,f
Мартинович,774,Мартин,М,m
Аскерович,773,Аскер,А,m
Умаровна,772,Умар,У,f
Ананьевна,771,Ананий,А,f
Раилевич,770,Раиль,Р,m
Рубикович,770,Рубик,Р,m
Мирославович,769,Мирослав,М,m
Касимовна,769,Касим,К,f
Амбарцумович,768,Амбарцум,А,m
Бабкенович,768,Бабкен,Б,m
Исламовна,768,Ислам,И,f
Аветикович,765,Аветик,А,m
Омаровна,762,Омар,О,f
Наримановна,761,Нариман,Н,f
Арсеньевна,761,Арсений,А,f
Андрианович,761,Андриан,А,m
Зиннуровна,760,Зиннур,З,f
Газизович,759,Газиз,Г,m
Нодарович,758,Нодар,Н,m
Аслановна,757,Аслан,А,f
Азизович,756,Азиз,А,m
Асланбекович,755,Асланбек,А,m
Мамиконович,755,Мамикон,М,m
