text,num,gender,f_form,fname,m_form
Кочемасов,581,m,Кочемасова,,
Савочкин,580,m,Савочкина,,
Подлесных,580,u,,,
Волощук,580,u,,,
Соков,579,m,Сокова,,
Хисматуллина,579,f,,,Хисматуллин
Лавренова,579,f,,Лаврен,Лавренов
Шушарин,579,m,Шушарина,,
Амосова,579,f,,Амос,Амосов
Ушков,579,m,Ушкова,,
Парыгин,579,m,Парыгина,,
Якушина,579,f,,,Якушин
Бушин,579,m,Бушина,,
Карамышева,579,f,,,Карамышев
Боташев,579,m,Боташева,,
Ионин,579,m,Ионина,,
Балан,578,u,,,
Кудашкин,578,m,Кудашкина,,
Туктаров,578,m,Туктарова,Туктар,
Рябых,578,u,,,
Болотников,578,m,Болотникова,,
Кандауров,578,m,Кандаурова,,
Рудик,578,u,,,
Юдаев,578,m,Юдаева,,
Саматов,578,m,Саматова,Самат,
Асадуллин,577,m,Асадуллина,,
Конаков,577,m,Конакова,,
Скоморохов,577,m,Скоморохова,,
Чупина,577,f,,,Чупин
Поваляев,577,m,Поваляева,,
Гуков,577,m,Гукова,,
Удальцов,577,m,Удальцова,,
Скобелева,577,f,,,Скобелев
Блинкова,577,f,,,Блинков
Мальгин,577,m,Мальгина,,
Нежнов,577,m,Нежнова,,
Мишарин,576,m,Мишарина,,
Кислицин,576,m,Кислицина,,
Розенберг,576,u,,,
Акишин,576,m,Акишина,,
Бородкина,576,f,,,Бородкин
Воронкин,576,m,Воронкина,,
Кулеш,576,u,,,
Белецкая,576,f,,,Белецкий
Маринина,576,f,,,Маринин
Крук,576,u,,,
Пыхтин,576,m,Пыхтина,,
Петроченкова,576,f,,,Петроченков
Шумская,575,f,,,Шумский
Серкова,575,f,,Серк,Серков
Воротникова,575,f,,,Воротников
Макарчук,575,u,,,
Тюлькин,575,m,Тюлькина,,
Иванищев,575,m,Иванищева,,
Алмазов,575,m,Алмазова,Алмаз,
Ланин,575,m,Ланина,,
Рихтер,575,u,,,
Гутов,575,m,Гутова,,
Сущенко,574,u,,,
Молодых,574,u,,,
Квитко,574,u,,,
Семенихина,574,f,,,Семенихин
Сычёв,574,m,Сычёва,,
Новокрещенов,574,m,Новокрещенова,,
Топоркова,574,f,,,Топорков
Жигунов,574,m,Жигунова,,
Ботов,574,m,Ботова,,
Ванина,573,f,,,Ванин
Григорович,573,u,,,
Галимуллин,573,m,Галимуллина,,
Алоян,573,u,,,
Холод,573,u,,,
Дейнеко,573,u,,,
Сапунова,573,f,,,Сапунов
Бердник,573,u,,,
Казначеева,573,f,,,Казначеев
Саломатин,573,m,Саломатина,,
Семенков,572,m,Семенкова,,
Крымов,572,m,Крымова,,
Хуснуллин,572,m,Хуснуллина,,
Боровский,572,m,Боровская,,
Берестов,572,m,Берестова,,
Харланов,572,m,Харланова,,
Никульшин,572,m,Никульшина,,
Бедарев,572,m,Бедарева,,
Еремкин,571,m,Еремкина,,
Мифтахова,571,f,,Мифтах,Мифтахов
Шитикова,571,f,,,Шитиков
Забродина,571,f,,,Забродин
Дибиров,571,m,Дибирова,Дибир,
Матюшкин,571,m,Матюшкина,,
Домрачева,571,f,,,Домрачев
Шелухин,571,m,Шелухина,,
Ураков,571,m,Уракова,,
Селезнёв,571,m,Селезнёва,,
Казанский,571,m,Казанская,,
Макаев,571,m,Макаева,,
Загорский,571,m,Загорская,,
Маркович,571,u,,,
Ибраев,570,m,Ибраева,,
Якубенко,570,u,,,
Гуторов,570,m,Гуторова,,
Мануйлова,570,f,,,Мануйлов
Рафикова,570,f,,Рафик,Рафиков
Климчук,570,u,,,
Глинский,570,m,Глинская,,
Азаренко,570,u,,,
Сиротенко,570,u,,,
Емец,569,u,,,
Манакова,569,f,,,Манаков
Касаев,569,m,Касаева,,
Оськина,569,f,,,Оськин
Бахтеев,569,m,Бахтеева,,
Брылев,569,m,Брылева,,
Рыжаков,569,m,Рыжакова,,
Годунов,568,m,Годунова,,
Сокольников,568,m,Сокольникова,,
Осинцева,568,f,,,Осинцев
Липина,568,f,,,Липин
Ковешников,568,m,Ковешникова,,
Лысиков,568,m,Лысикова,,
Зыбина,568,f,,,Зыбин
Пискарева,568,f,,,Пискарев
Лисицин,567,m,Лисицина,,
Хаустова,567,f,,,Хаустов
Болгова,567,f,,,Болгов
Юй,567,f,,,
Столбова,567,f,,,Столбов
Алилуев,567,m,Алилуева,,
Бикмухаметов,566,m,Бикмухаметова,Бикмухамет,
Курило,566,u,,,
Бортникова,566,f,,,Бортников
Уманский,566,m,Уманская,,
Квасова,566,f,,,Квасов
Шелковников,565,m,Шелковникова,,
Абашев,565,m,Абашева,,
Чернега,565,u,,,
Заболотский,565,m,Заболотская,,
Синяев,565,m,Синяева,,
Упоров,565,m,Упорова,,
Мартюшев,565,m,Мартюшева,,
Безбородова,565,f,,,Безбородов
Макарян,564,u,,,
Колычев,564,m,Колычева,,
Трушников,564,m,Трушникова,,
Викулова,564,f,,Викул,Викулов
Кирилова,564,f,,Кирил,Кирилов
Файзулин,564,m,Файзулина,,
Сутормин,563,m,Сутормина,,
Кухарев,563,m,Кухарева,,
Машин,563,m,Машина,,
Лекомцева,563,f,,,Лекомцев
Забиров,562,m,Забирова,Забир,
Кусов,562,m,Кусова,,
Самусенко,562,u,,,
Бродский,562,m,Бродская,,
Казымов,562,m,Казымова,Казым,
Рудницкий,562,m,Рудницкая,,
Симанов,562,m,Симанова,Симан,
Иксанов,561,m,Иксанова,Иксан,
Додонова,561,f,,,Додонов
Даценко,561,u,,,
Чубарова,561,f,,,Чубаров
Шкляр,561,u,,,
Шамина,560,f,,,Шамин
Сурова,560,f,,,Суров
Горева,560,f,,,Горев
Беличенко,560,u,,,
Загорулько,560,u,,,
Гапонова,560,f,,,Гапонов
Чуканов,560,m,Чуканова,,
Ямщикова,560,f,,,Ямщиков
Жохов,560,m,Жохова,,
Устюгова,559,f,,,Устюгов
Ясинский,559,m,Ясинская,,
Стрелец,559,u,,,
Евсюкова,559,f,,,Евсюков
Даудов,559,m,Даудова,Дауд,
Скрипников,559,m,Скрипникова,,
Ханина,559,f,,,Ханин
Черемухин,559,m,Черемухина,,
Мухамадеев,559,m,Мухамадеева,,
Политова,559,f,,Полит,Политов
Улыбин,559,m,Улыбина,,
Ильинов,558,m,Ильинова,,
Ерёменко,558,u,,,
Стяжкин,558,m,Стяжкина,,
Маштаков,558,m,Маштакова,,
Байрамуков,558,m,Байрамукова,Байрамук,
Плюснина,558,f,,,Плюснин
Подопригора,558,u,,,
Малый,558,m,,,
Мурашкина,558,f,,,Мурашкин
Мелехина,558,f,,,Мелехин
Анкудинова,558,f,,,Анкудинов
Жижин,558,m,Жижина,,
Демаков,558,m,Демакова,,
Гирфанов,558,m,Гирфанова,Гирфан,
Первушина,557,f,,,Первушин
Капралова,557,f,,,Капралов
Петунин,557,m,Петунина,,
Гаршин,557,m,Гаршина,,
Кожемякина,557,f,,,Кожемякин
Тесля,557,u,,,
Салин,557,m,Салина,,
Прядко,557,u,,,
Бахвалов,557,m,Бахвалова,,
Мязин,557,m,Мязина,,
Винникова,557,f,,,Винников
Артёмов,556,m,Артёмова,Артём,
Кузьминова,556,f,,,Кузьминов
Конышева,556,f,,,Конышев
Шашкина,556,f,,,Шашкин
Сумароков,556,m,Сумарокова,,
Яблонский,556,m,Яблонская,,
Соломина,556,f,,,Соломин
Цыплаков,556,m,Цыплакова,,
Евченко,556,u,,,
Прокопович,556,u,,,
Момот,555,u,,,
Стенин,555,m,Стенина,,
Нефёдов,555,m,Нефёдова,,
Хамитова,555,f,,Хамит,Хамитов
Багин,555,m,Багина,,
Можаева,555,f,,,Можаев
Вознесенский,555,m,Вознесенская,,
Расулова,555,f,,Расул,Расулов
Короткевич,555,u,,,
Болотина,555,f,,,Болотин
Бугаенко,555,u,,,
Манаев,555,m,Манаева,,
Пегов,555,m,Пегова,,
Половинкина,555,f,,,Половинкин
Кучерявый,555,m,,,
Гетманов,555,m,Гетманова,,
Коршиков,555,m,Коршикова,,
Савич,555,u,,,
Пан,554,u,,,
Шумилина,554,f,,,Шумилин
Хасаншин,554,m,Хасаншина,,
Гулевич,554,u,,,
Глазова,554,f,,,Глазов
Бабаков,554,m,Бабакова,,
Ломаев,554,m,Ломаева,,
Сизиков,554,m,Сизикова,,
Лежнин,554,m,Лежнина,,
Долганова,554,f,,,Долганов
Лозовая,554,f,,,
Сингх,554,f,,,
Мигунова,553,f,,,Мигунов
Черданцев,553,m,Черданцева,,
Красюк,553,u,,,
Преснякова,553,f,,,Пресняков
Дубинский,553,m,Дубинская,,
Кирюшина,553,f,,,Кирюшин
Суворкин,553,m,Суворкина,,
Дунин,553,m,Дунина,,
Жестков,552,m,Жесткова,,
Галаев,552,m,Галаева,,
Гриб,552,u,,,
Шахбазян,552,u,,,
Васютин,552,m,Васютина,,
Чекмарева,552,f,,,Чекмарев
Шумихин,552,m,Шумихина,,
Стафеев,552,m,Стафеева,,
Суровцева,552,f,,,Суровцев
Кириков,551,m,Кирикова,Кирик,
Самошкин,551,m,Самошкина,,
Илясов,551,m,Илясова,Иляс,
Никишов,551,m,Никишова,,
Аксёнова,551,f,,,Аксёнов
Скрипко,551,u,,,
Федяева,551,f,,,Федяев
Сигаев,551,m,Сигаева,,
Зиятдинов,551,m,Зиятдинова,Зиятдин,
Бабанин,551,m,Бабанина,,
Пчелинцева,551,f,,,Пчелинцев
Ремезов,551,m,Ремезова,,
Шабуров,550,m,Шабурова,,
Осина,550,f,,,Осин
Роганов,550,m,Роганова,,
Пустовой,550,m,,,
Пшеничникова,550,f,,,Пшеничников
Фатхуллин,550,m,Фатхуллина,,
Стародумов,550,m,Стародумова,,
Шинкевич,550,u,,,
Вилкова,550,f,,,Вилков
Довженко,549,u,,,
Чекунов,549,m,Чекунова,,
Григорьянц,549,u,,,
Журкин,549,m,Журкина,,
Маннанов,549,m,Маннанова,Маннан,
Кущ,549,u,,,
Масютина,549,f,,,Масютин
Ерина,549,f,,,Ерин
Шильников,549,m,Шильникова,,
Аверкиев,549,m,Аверкиева,,
Ступников,548,m,Ступникова,,
Калякин,548,m,Калякина,,
Шустров,548,m,Шустрова,,
Елина,548,f,,,Елин
Сайфуллина,548,f,,,Сайфуллин
Мазанов,548,m,Мазанова,Мазан,
Томилина,548,f,,,Томилин
Тюриков,548,m,Тюрикова,,
Знаменский,548,m,Знаменская,,
Якимчук,547,u,,,
Колупаева,547,f,,,Колупаев
Немыкин,547,m,Немыкина,,
Микрюкова,547,f,,,Микрюков
Чупраков,547,m,Чупракова,,
Рыбалкина,547,f,,,Рыбалкин
Юдкин,547,m,Юдкина,,
Ситник,546,u,,,
Качалова,546,f,,,Качалов
Дик,546,u,,,
Митрошин,546,m,Митрошина,,
Шатрова,546,f,,,Шатров
Галахов,546,m,Галахова,,
Прошина,546,f,,,Прошин
Пупышев,546,m,Пупышева,,
Гиззатуллин,546,m,Гиззатуллина,,
Ванюков,546,m,Ванюкова,,
Ларкин,546,m,Ларкина,,
Астанин,545,m,Астанина,,
Саитова,545,f,,Саит,Саитов
Захаркин,545,m,Захаркина,,
Мартиросов,545,m,Мартиросова,Мартирос,
Молоканов,545,m,Молоканова,,
Шкурко,545,u,,,
Клещев,545,m,Клещева,,
Агеенко,545,u,,,
Новосёлов,545,m,Новосёлова,,
Огай,545,u,,,
Душин,545,m,Душина,,
Чубуков,545,m,Чубукова,,
Чернобай,545,u,,,
Прибытков,544,m,Прибыткова,,
Косырев,544,m,Косырева,,
Уфимцева,544,f,,,Уфимцев
Шелков,544,m,Шелкова,,
Лашин,544,m,Лашина,,
Садеков,544,m,Садекова,Садек,
Письменный,544,m,,,
Кострюков,543,m,Кострюкова,,
Слесарева,543,f,,,Слесарев
Малеева,543,f,,,Малеев
Шалимова,543,f,,,Шалимов
Максимович,543,u,,,
Князьков,543,m,Князькова,,
Тюнин,543,m,Тюнина,,
Цыбульский,543,m,Цыбульская,,
Оюн,543,u,,,
Слободенюк,542,u,,,
Бортник,542,u,,,
Пикалова,542,f,,,Пикалов
Скороход,542,u,,,
Рублева,542,f,,,Рублев
Кирпичников,542,m,Кирпичникова,,
Волчкова,542,f,,,Волчков
Кургузов,542,m,Кургузова,,
Бояринов,542,m,Бояринова,,
Бельтюков,542,m,Бельтюкова,,
Курасов,542,m,Курасова,,
Запольский,542,m,Запольская,,
Балыкин,541,m,Балыкина,,
Шишканов,541,m,Шишканова,,
Кожухова,541,f,,,Кожухов
Бредихина,541,f,,,Бредихин
Рожко,541,u,,,
Хворов,541,m,Хворова,,
Лисовская,541,f,,,Лисовский
Рулева,541,f,,,Рулев
Горковенко,541,u,,,
Савичева,541,f,,,Савичев
Ильющенко,541,u,,,
Матяш,541,u,,,
Наседкин,541,m,Наседкина,,
Двойников,541,m,Двойникова,,
Сибиряков,540,m,Сибирякова,,
Щур,540,u,,,
Артюшин,540,m,Артюшина,,
Апарин,540,m,Апарина,,
Вострецов,540,m,Вострецова,,
Усиков,540,m,Усикова,Усик,
Лазутин,540,m,Лазутина,,
Жиряков,540,m,Жирякова,,
Стручкова,539,f,,,Стручков
Никитченко,539,u,,,
Кощеева,539,f,,,Кощеев
Падерин,539,m,Падерина,,
Манасян,539,u,,,
Мудров,539,m,Мудрова,,
Пяткин,538,m,Пяткина,,
Галанин,538,m,Галанина,,
Сысолятин,538,m,Сысолятина,,
Антошкин,538,m,Антошкина,,
Голышева,538,f,,,Голышев
Кокурин,538,m,Кокурина,,
Синкевич,538,u,,,
Слободчикова,538,f,,,Слободчиков
Кладов,538,m,Кладова,,
Панкин,538,m,Панкина,,
Аношин,538,m,Аношина,,
Галицкая,537,f,,,Галицкий
Филиппенко,537,u,,,
Стешенко,537,u,,,
Халин,537,m,Халина,,
Крысанов,537,m,Крысанова,,
Веремеенко,537,u,,,
Шпакова,537,f,,,Шпаков
Карась,536,u,,,
Евтеева,536,f,,,Евтеев
Стукалова,536,f,,,Стукалов
Петрук,536,u,,,
Ахтямова,536,f,,Ахтям,Ахтямов
Мастеров,536,m,Мастерова,,
Мякишева,536,f,,,Мякишев
Зиннуров,536,m,Зиннурова,Зиннур,
Фатхутдинов,536,m,Фатхутдинова,Фатхутдин,
Поваров,535,m,Поварова,,
Аширов,535,m,Аширова,,
Шихова,535,f,,,Шихов
Довгань,535,u,,,
Цыганок,535,u,,,
Пелевина,535,f,,,Пелевин
Объедков,535,m,Объедкова,,
Тришкин,534,m,Тришкина,,
Мордовин,534,m,Мордовина,,
Пушкова,534,f,,,Пушков
Рагулин,534,m,Рагулина,,
Пьянов,534,m,Пьянова,,
Крутских,534,u,,,
Трунин,534,m,Трунина,,
Копейкина,534,f,,,Копейкин
Нигматулин,534,m,Нигматулина,,
Шамилов,534,m,Шамилова,Шамил,
Аршинов,534,m,Аршинова,,
Хайдарова,533,f,,Хайдар,Хайдаров
Иевлев,533,m,Иевлева,,
Пепеляев,533,m,Пепеляева,,
Дуров,533,m,Дурова,,
Лемешев,533,m,Лемешева,,
Александрович,533,u,,,
Трифанов,533,m,Трифанова,Трифан,
Беков,533,m,Бекова,Бек,
Рубин,533,m,Рубина,,
Жадан,532,u,,,
Шаталин,532,m,Шаталина,,
Зернова,532,f,,,Зернов
Солодянкин,532,m,Солодянкина,,
Карасёв,532,m,Карасёва,,
Головкова,532,f,,,Головков
Диков,532,m,Дикова,,
Нечепуренко,532,u,,,
Кайзер,532,u,,,
Булах,532,u,,,
Гимадиев,531,m,Гимадиева,,
Терновский,531,m,Терновская,,
Ханова,531,f,,Хан,Ханов
Роменский,531,m,Роменская,,
Старостенко,531,u,,,
Мочалин,531,m,Мочалина,,
Заславский,531,m,Заславская,,
Антипенко,531,u,,,
Загоруйко,531,u,,,
Самошин,531,m,Самошина,,
Сенаторов,531,m,Сенаторова,,
Шмыков,531,m,Шмыкова,,
Максимчук,530,u,,,
Козленко,530,u,,,
Шелехов,530,m,Шелехова,,
Гаджимагомедов,530,m,Гаджимагомедова,Гаджимагомед,
Раевская,530,f,,,Раевский
Григорова,530,f,,Григор,Григоров
Шакирзянов,530,m,Шакирзянова,Шакирзян,
Дегтярь,530,u,,,
Курганский,530,m,Курганская,,
Нехаев,530,m,Нехаева,,
Полыгалов,530,m,Полыгалова,,
Гаврин,530,m,Гаврина,,
Нейман,530,u,,,
Стрельченко,529,u,,,
Татаркин,529,m,Татаркина,,
Казарина,529,f,,,Казарин
Голова,529,f,,,Голов
Зубанова,529,f,,,Зубанов
Разумовская,528,f,,,Разумовский
Юркина,528,f,,,Юркин
Коньшин,528,m,Коньшина,,
Добряков,528,m,Добрякова,,
Десятов,528,m,Десятова,,
Сарафанов,528,m,Сарафанова,,
Французов,528,m,Французова,,
Каретников,527,m,Каретникова,,
Яцук,527,u,,,
Чепелев,527,m,Чепелева,,
Голубов,527,m,Голубова,,
Чиж,527,u,,,
Усатов,527,m,Усатова,,
Чикишев,527,m,Чикишева,,
Мамин,527,m,Мамина,,
Синюков,527,m,Синюкова,,
Малафеев,527,m,Малафеева,,
Соболевский,527,m,Соболевская,,
Ясаков,527,m,Ясакова,,
Федоткин,526,m,Федоткина,,
Вавилин,526,m,Вавилина,,
Гречишкин,526,m,Гречишкина,,
Садовой,526,m,,,
Козулин,526,m,Козулина,,
Шаманов,526,m,Шаманова,,
Сухомлинов,526,m,Сухомлинова,,
Бакиев,525,m,Бакиева,,
Джумаев,525,m,Джумаева,,
Хамидулин,525,m,Хамидулина,,
Стасенко,525,u,,,
Хаджиев,525,m,Хаджиева,,
Кривова,525,f,,,Кривов
Темиров,525,m,Темирова,Темир,
Шалин,525,m,Шалина,,
Должиков,525,m,Должикова,,
Мелехов,525,m,Мелехова,,
Желтова,525,f,,,Желтов
Кукса,525,u,,,
Бизяев,525,m,Бизяева,,
Заболотских,525,u,,,
Аббасова,524,f,,Аббас,Аббасов
Парахин,524,m,Парахина,,
Ромащенко,524,u,,,
Тырин,524,m,Тырина,,
Харькова,524,f,,,Харьков
Великанова,524,f,,Великан,Великанов
Авдалян,523,u,,,
Макурин,523,m,Макурина,,
Азарян,523,u,,,
Задорин,523,m,Задорина,,
Хватов,523,m,Хватова,,
Нехорошев,523,m,Нехорошева,,
Пашковский,523,m,Пашковская,,
Карамов,522,m,Карамова,Карам,
Черепов,522,m,Черепова,,
Коржова,522,f,,,Коржов
Воскресенская,522,f,,,Воскресенский
Понамарев,522,m,Понамарева,,
Миков,522,m,Микова,,
Стулов,522,m,Стулова,,
Каюков,522,m,Каюкова,,
Гросс,522,u,,,
Музафаров,521,m,Музафарова,Музафар,
Манкевич,521,u,,,
Минибаев,521,m,Минибаева,,
Ежков,521,m,Ежкова,,
Кочев,521,m,Кочева,,
Димов,521,m,Димова,Дим,
Краюшкин,521,m,Краюшкина,,
Аитов,521,m,Аитова,Аит,
Харьковский,521,m,Харьковская,,
Гулиева,520,f,,,Гулиев
Сонина,520,f,,,Сонин
Анпилогов,520,m,Анпилогова,,
Лапаев,520,m,Лапаева,,
Доброхотов,520,m,Доброхотова,,
Шошин,520,m,Шошина,,
Ганеева,520,f,,,Ганеев
Теплых,520,u,,,
Волынкин,520,m,Волынкина,,
Бутаев,520,m,Бутаева,,
Шиловский,520,m,Шиловская,,
Строкин,520,m,Строкина,,
Рябиков,520,m,Рябикова,,
Ишмуратов,520,m,Ишмуратова,Ишмурат,
Аммосов,519,m,Аммосова,,
Козьмин,519,m,Козьмина,,
Димитров,519,m,Димитрова,Димитр,
Селянин,519,m,Селянина,,
Кушнаренко,519,u,,,
Доржиева,519,f,,,Доржиев
Ковшов,519,m,Ковшова,,
Набоков,519,m,Набокова,,
Касьян,519,u,,,
Мустаев,519,m,Мустаева,,
Коровкина,519,f,,,Коровкин
Шушаков,519,m,Шушакова,,
Мосягин,519,m,Мосягина,,
Имамов,519,m,Имамова,Имам,
Луконин,519,m,Луконина,,
Слободянюк,519,u,,,
Куимов,518,m,Куимова,,
Гришаева,518,f,,,Гришаев
Доля,518,u,,,
Саркисова,517,f,,Саркис,Саркисов
Щедрина,517,f,,,Щедрин
Турбин,517,m,Турбина,,
Борисюк,517,u,,,
Чернякова,517,f,,,Черняков
Колтаков,517,m,Колтакова,,
Столяр,517,u,,,
Царёв,517,m,Царёва,,
Тулин,517,m,Тулина,,
Спасский,517,m,Спасская,,
Офицеров,517,m,Офицерова,,
Пятаков,517,m,Пятакова,,
Хмелева,517,f,,,Хмелев
Макушин,517,m,Макушина,,
Назин,516,m,Назина,,
Башкатова,516,f,,,Башкатов
Курбонов,516,m,Курбонова,Курбон,
Данько,516,u,,,
Кучма,516,u,,,
Амирханян,516,u,,,
Бутусов,516,m,Бутусова,,
Московский,516,m,Московская,,
Житков,516,m,Житкова,,
Боровская,516,f,,,Боровский
Труш,515,u,,,
Мурадова,515,f,,Мурад,Мурадов
Перцева,515,f,,,Перцев
Казьмина,515,f,,,Казьмин
Бакина,515,f,,,Бакин
Федоровский,515,m,Федоровская,,
Айвазов,515,m,Айвазова,Айваз,
Котенев,515,m,Котенева,,
Ворончихина,515,f,,,Ворончихин
Косинова,515,f,,,Косинов
Коротенко,515,u,,,
Левкина,515,f,,,Левкин
Щербатых,514,u,,,
Залевский,514,m,Залевская,,
Шестов,514,m,Шестова,,
Карачев,514,m,Карачева,,
Ивашов,514,m,Ивашова,,
Сивов,514,m,Сивова,,
Пестриков,514,m,Пестрикова,,
Воскобойников,514,m,Воскобойникова,,
Лифанов,514,m,Лифанова,,
Ласкин,514,m,Ласкина,,
Кашкин,514,m,Кашкина,,
Кисилев,514,m,Кисилева,,
Зуйкова,513,f,,,Зуйков
Зеленцова,513,f,,,Зеленцов
Исраилов,513,m,Исраилова,Исраил,
Махонин,513,m,Махонина,,
Лиханов,513,m,Лиханова,,
Борзова,513,f,,,Борзов
Белинская,513,f,,,Белинский
Загиров,513,m,Загирова,Загир,
Чжу,513,u,,,
Порошков,513,m,Порошкова,,
Сидоренков,512,m,Сидоренкова,,
Присяжнюк,512,u,,,
Лепехин,512,m,Лепехина,,
Ерёмина,512,f,,,Ерёмин
Ворожейкин,512,m,Ворожейкина,,
Бузмаков,512,m,Бузмакова,,
Паршаков,512,m,Паршакова,,
Розова,512,f,,,Розов
Кунгурцев,512,m,Кунгурцева,,
Бражникова,511,f,,Бражник,Бражников
Сёмин,511,m,Сёмина,,
Загидуллина,511,f,,,Загидуллин
Доровских,511,u,,,
Балдина,511,f,,,Балдин
Галенко,511,u,,,
Мостовая,511,f,,,
Викулин,510,m,Викулина,,
Петушков,510,m,Петушкова,,
Бурганов,510,m,Бурганова,Бурган,
Нургалиева,510,f,,,Нургалиев
Токмакова,510,f,,,Токмаков
Мосунов,510,m,Мосунова,,
Очирова,510,f,,Очир,Очиров
Кошевой,510,m,,,
Грунин,510,m,Грунина,,
Стрекалов,509,m,Стрекалова,,
Каргаполов,509,m,Каргаполова,,
Андрусенко,509,u,,,
Безматерных,509,u,,,
Бушков,509,m,Бушкова,,
Гайворонская,509,f,,,Гайворонский
Угаров,509,m,Угарова,,
Качанова,509,f,,,Качанов
Сагдеев,509,m,Сагдеева,,
Лучина,509,f,,,Лучин
Дубовицкая,508,f,,,Дубовицкий
Насретдинов,508,m,Насретдинова,Насретдин,
Набиуллина,508,f,,,Набиуллин
Донсков,508,m,Донскова,,
Редин,508,m,Редина,,
Коломейцев,508,m,Коломейцева,,
Жиляков,508,m,Жилякова,,
Городничев,508,m,Городничева,,
Бызов,508,m,Бызова,,
Рогалев,508,m,Рогалева,,
Пряхина,508,f,,,Пряхин
Манучарян,507,u,,,
Пластинин,507,m,Пластинина,,
Карнаух,507,u,,,
Атоян,507,u,,,
Шипов,507,m,Шипова,,
Пшеничная,507,f,,,
Зарецкая,507,f,,,Зарецкий
Радаева,507,f,,,Радаев
Степкин,507,m,Степкина,,
Бибин,507,m,Бибина,,
Тимошкин,507,m,Тимошкина,,
Камышев,507,m,Камышева,,
Важенина,507,f,,,Важенин
Радько,506,u,,,
Жилкина,506,f,,,Жилкин
Горбачёв,506,m,Горбачёва,,
Азимова,506,f,,Азим,Азимов
Преображенская,506,f,,,Преображенский
Порядин,506,m,Порядина,,
Волохова,506,f,,,Волохов
Камилов,506,m,Камилова,Камил,
Хилько,506,u,,,
Гридина,506,f,,,Гридин
Скакун,506,u,,,
Хребтов,505,m,Хребтова,,
Русяев,505,m,Русяева,,
Зацепина,505,f,,,Зацепин
Акинин,505,m,Акинина,,
Насибуллина,505,f,,,Насибуллин
Патраков,505,m,Патракова,,
Братчиков,505,m,Братчикова,,
Хамзина,505,f,,,Хамзин
Тиунова,505,f,,,Тиунов
Шелякин,505,m,Шелякина,,
Хазова,504,f,,,Хазов
Докукин,504,m,Докукина,,
Шикин,504,m,Шикина,,
Янковская,504,f,,,Янковский
Гильмутдинова,504,f,,Гильмутдин,Гильмутдинов
Ходжаев,504,m,Ходжаева,,
Саньков,504,m,Санькова,,
Шатова,504,f,,,Шатов
Дышеков,504,m,Дышекова,,
Алтунин,504,m,Алтунина,,
Яшков,504,m,Яшкова,,
Ковальков,504,m,Ковалькова,,
Колотилин,503,m,Колотилина,,
Ромашкина,503,f,,,Ромашкин
Рыженкова,503,f,,,Рыженков
Каратаева,503,f,,,Каратаев
Устюжанина,503,f,,,Устюжанин
Меринов,503,m,Меринова,,
Староверова,503,f,,,Староверов
Наседкина,503,f,,,Наседкин
Макаркин,503,m,Макаркина,,
Гудзь,502,u,,,
Коблов,502,m,Коблова,,
Гнездилова,502,f,,,Гнездилов
Разуваева,502,f,,,Разуваев
Чибисова,502,f,,,Чибисов
Конончук,502,u,,,
Афанасов,502,m,Афанасова,Афанас,
Саттарова,502,f,,Саттар,Саттаров
Мокроусова,502,f,,,Мокроусов
Красилов,502,m,Красилова,,
Селищев,502,m,Селищева,,
Лымарь,502,u,,,
Асташов,502,m,Асташова,,
Жидких,502,u,,,
Вотинцев,502,m,Вотинцева,,
Авдонина,501,f,,,Авдонин
Лапшов,501,m,Лапшова,,
Шаймухаметов,501,m,Шаймухаметова,Шаймухамет,
Разживин,501,m,Разживина,,
Михалёв,501,m,Михалёва,,
Парфёнов,501,m,Парфёнова,,
Стрижак,501,u,,,
Вафина,501,f,,,Вафин
Алекперов,501,m,Алекперова,Алекпер,
Машковцев,501,m,Машковцева,,
Комар,501,u,,,
Батчаев,501,m,Батчаева,,
Анучин,501,m,Анучина,,
Турченко,501,u,,,
Харлов,501,m,Харлова,,
Малаев,500,m,Малаева,,
Гузь,500,u,,,
Голенков,500,m,Голенкова,,
Самородов,500,m,Самородова,,
Малько,500,u,,,
Костарева,500,f,,,Костарев
Кусакин,500,m,Кусакина,,
Порфирьев,500,m,Порфирьева,,
Скляревский,500,m,Скляревская,,
Балин,499,m,Балина,,
Авилова,499,f,,,Авилов
Шальнев,499,m,Шальнева,,
Анциферова,499,f,,Анцифер,Анциферов
Стрижов,499,m,Стрижова,,
Рудченко,499,u,,,
Горностаева,499,f,,,Горностаев
Белоцерковский,499,m,Белоцерковская,,
Петрович,499,u,,,
Сидякин,499,m,Сидякина,,
Чжоу,499,u,,,
Верещак,499,u,,,
Ящук,499,u,,,
Маньков,499,m,Манькова,,
Кулев,499,m,Кулева,,
Ворожцова,499,f,,,Ворожцов
Мицкевич,499,u,,,
Темникова,498,f,,,Темников
Богуславский,498,m,Богуславская,,
Глоба,498,u,,,
Ряполов,498,m,Ряполова,,
Казимиров,498,m,Казимирова,Казимир,
Рукосуев,498,m,Рукосуева,,
Грязев,498,m,Грязева,,
Золина,498,f,,,Золин
Горшенина,498,f,,,Горшенин
Бровкина,498,f,,,Бровкин
Клестов,498,m,Клестова,,
Стефанов,498,m,Стефанова,Стефан,
Митюков,498,m,Митюкова,,
Дрожжина,498,f,,,Дрожжин
Балакирева,498,f,,,Балакирев
Плехов,498,m,Плехова,,
Дарбинян,497,u,,,
