text,num,lett,gender
Исмаил,2971,И,m
Расим,2966,Р,m
Рафаил,2950,Р,m
Анзор,2948,А,m
Марс,2941,М,m
Алеся,2908,А,f
Лейла,2870,Л,f
Кира,2865,К,f
Рафис,2825,Р,m
Ю.,2786,,m
Султан,2784,С,m
Аида,2760,А,f
Фёдор,2755,Ф,m
Эдгар,2724,Э,m
Зураб,2719,З,m
Л.,2717,,f
Эрик,2707,Э,m
Гульназ,2696,Г,f
Иннокентий,2692,И,m
Захар,2692,З,m
Янина,2689,Я,f
Геворг,2659,Г,m
Зарема,2625,З,f
Семён,2556,С,m
Клара,2551,К,f
Лада,2546,Л,f
Эльза,2540,Э,f
Андраник,2529,А,m
Пелагея,2407,П,f
Вардан,2404,В,m
Алим,2376,А,m
Эрнест,2375,Э,m
Иса,2339,И,m
Залина,2338,З,f
Артемий,2332,А,m
Арутюн,2283,А,m
Владлен,2264,В,m
Мухамед,2260,М,m
Рауф,2250,Р,m
Зухра,2240,З,f
Лия,2237,Л,f
Аминат,2211,А,f
Нурия,2210,Н,f
Рушан,2179,Р,m
Баир,2172,Б,m
Рим,2148,Р,m
Юсуп,2143,Ю,m
Умар,2100,У,m
Диляра,2096,Д,f
Зуфар,2092,З,m
Ильнар,2084,И,m
Розалия,2080,Р,f
Рамис,2074,Р,m
Лена,2066,Л,f
Неля,2063,Н,f
Асия,2033,А,f
Рафаиль,2032,Р,m
Люция,2027,Л,f
Артак,2025,А,m
Сусанна,2024,С,f
Спартак,2019,С,m
Гарик,1986,Г,m
Алефтина,1980,А,f
Т.,1975,,f
Лина,1971,Л,f
Рифат,1945,Р,m
Фаниль,1943,Ф,m
Муслим,1942,М,m
Эмилия,1936,Э,f
Альфред,1910,А,m
Резеда,1904,Р,f
Ася,1898,А,f
Сания,1881,С,f
Алишер,1878,А,m
Серафима,1878,С,f
Афанасий,1878,А,m
Талгат,1876,Т,m
Нариман,1867,Н,m
Зарина,1853,З,f
Оганес,1841,О,m
Лейсан,1832,Л,f
Айнур,1827,А,m
Флюра,1804,Ф,f
Марьям,1802,М,f
Назим,1783,Н,m
Нонна,1778,Н,f
Рамиля,1778,Р,f
Нияз,1769,Н,m
Саид,1732,С,m
Юлиана,1721,Ю,f
Антонида,1721,А,f
Гаджи,1718,Г,m
Арслан,1712,А,m
Ахмет,1702,А,m
Анаит,1687,А,f
Асият,1686,А,m
Гасан,1680,Г,m
Илдар,1659,И,m
Сулейман,1658,С,m
Прасковья,1642,П,f
Рамзия,1639,Р,f
Анар,1636,А,m
Сапарбек,1633,,m
Сослан,1626,С,m
Адель,1611,А,m
Саркис,1610,С,m
Каринэ,1602,К,f
Сабина,1598,С,f
Омар,1595,О,m
Аскар,1593,А,m
Рамиз,1585,Р,m
Беслан,1583,Б,m
Ильфат,1572,И,m
Нелля,1565,Н,f
Акоп,1564,А,m
Риф,1558,Р,m
Рима,1553,Р,f
Асланбек,1533,А,m
Карине,1532,К,f
Асхат,1526,А,m
Эвелина,1517,Э,f
Искандер,1516,И,m
Махмуд,1510,М,m
Абдулла,1506,А,m
Милана,1500,М,f
Гамлет,1497,Г,m
Фания,1495,Ф,f
Магомет,1470,М,m
Идрис,1465,И,m
Курбан,1460,К,m
Зиля,1458,З,f
Василиса,1449,В,f
Земфира,1437,З,f
Гаяне,1434,Г,f
Айшат,1434,А,f
Гурген,1433,Г,m
Вахтанг,1429,В,m
Алихан,1429,А,m
Гюзель,1428,Г,f
Заурбек,1424,З,m
Осман,1423,О,m
Гузалия,1420,Г,f
Джамиля,1418,Д,f
Мустафа,1413,М,m
Магомедрасул,1408,М,m
Стелла,1407,С,f
Ильмир,1406,И,m
Энвер,1403,Э,m
Самир,1403,С,m
Араик,1403,А,m
Генрих,1400,Г,m
Тамерлан,1395,Т,m
Гульшат,1388,Г,f
Рустэм,1388,Р,m
Ризван,1379,Р,m
Альмира,1378,А,f
Гайк,1374,Г,m
Ильмира,1370,И,f
Данис,1367,Д,m
Линар,1366,Л,m
Марьяна,1355,М,f
Таймураз,1355,Т,m
Арарат,1352,А,m
Гаврил,1348,Г,m
